Season,Date,Month,Home Team,Away Team,Result FullTime,Result HalfTime,HomeGoals FullTime,AwayGoals FullTime,HomeGoals HalfTime,AwyaGoals HalfTime,HomeCard Red,AwayCard Red,HomeCard Yellow,AwayCard Yellow,Validation,,
2013/2014,11/10/2013,November,Man United,Arsenal,H,H,1,0,1,0,0,0,2,3,T,,
2013/2014,11/10/2013,November,Sunderland,Man City,H,H,1,0,1,0,0,0,0,1,T,,
2013/2014,11/10/2013,November,Swansea,Stoke,D,A,3,3,0,2,0,0,5,3,T,,
2013/2014,11/10/2013,November,Tottenham,Newcastle,A,A,0,1,0,1,0,0,1,2,T,,
2013/2014,11/23/2013,November,Arsenal,Southampton,H,H,2,0,1,0,0,0,0,3,T,,
2013/2014,11/23/2013,November,Everton,Liverpool,D,A,3,3,1,2,0,0,4,3,T,,
2013/2014,11/23/2013,November,Fulham,Swansea,A,D,1,2,0,0,0,0,3,1,T,,
2013/2014,11/23/2013,November,Hull,Crystal Palace,A,D,0,1,0,0,0,1,2,1,T,,
2013/2014,11/23/2013,November,Newcastle,Norwich,H,H,2,1,2,0,0,0,0,1,T,,
2013/2014,11/23/2013,November,Stoke,Sunderland,H,H,2,0,1,0,0,1,2,1,T,,
2013/2014,11/23/2013,November,West Ham,Chelsea,A,A,0,3,0,2,0,0,0,0,T,,
2013/2014,11/24/2013,November,Cardiff,Man United,D,A,2,2,1,2,0,0,4,2,T,,
2013/2014,11/24/2013,November,Man City,Tottenham,H,H,6,0,3,0,0,0,1,3,T,,
2013/2014,11/25/2013,November,West Brom,Aston Villa,D,H,2,2,2,0,0,0,1,2,T,,
2013/2014,11/30/2013,November,Aston Villa,Sunderland,D,D,0,0,0,0,0,0,2,1,T,,
2013/2014,11/30/2013,November,Cardiff,Arsenal,A,A,0,3,0,1,0,0,0,3,T,,
2013/2014,11/30/2013,November,Everton,Stoke,H,H,4,0,1,0,0,0,0,3,T,,
2013/2014,11/30/2013,November,Newcastle,West Brom,H,H,2,1,1,0,0,0,1,2,T,,
2013/2014,11/30/2013,November,Norwich,Crystal Palace,H,H,1,0,1,0,0,0,1,2,T,,
2013/2014,11/30/2013,November,West Ham,Fulham,H,D,3,0,0,0,0,0,3,2,T,,
2013/2014,12/1/2013,December,Chelsea,Southampton,H,A,3,1,0,1,0,0,1,4,T,,
2013/2014,12/1/2013,December,Hull,Liverpool,H,D,3,1,1,1,0,0,2,0,T,,
2013/2014,12/1/2013,December,Man City,Swansea,H,H,3,0,1,0,0,0,1,0,T,,
2013/2014,12/1/2013,December,Tottenham,Man United,D,D,2,2,1,1,0,0,1,3,T,,
2013/2014,12/3/2013,December,Crystal Palace,West Ham,H,H,1,0,1,0,0,0,1,2,T,,
2013/2014,12/4/2013,December,Arsenal,Hull,H,H,2,0,1,0,0,0,0,0,T,,
2013/2014,12/4/2013,December,Fulham,Tottenham,A,D,1,2,0,0,0,0,2,1,T,,
2013/2014,12/4/2013,December,Liverpool,Norwich,H,H,5,1,3,0,0,0,3,1,T,,
2013/2014,12/4/2013,December,Man United,Everton,A,D,0,1,0,0,0,0,2,0,T,,
2013/2014,12/4/2013,December,Southampton,Aston Villa,A,A,2,3,0,1,0,0,3,2,T,,
2013/2014,12/4/2013,December,Stoke,Cardiff,D,D,0,0,0,0,0,0,2,2,T,,
2013/2014,12/4/2013,December,Sunderland,Chelsea,A,A,3,4,1,2,0,0,4,3,T,,
2013/2014,12/4/2013,December,Swansea,Newcastle,H,H,3,0,1,0,0,0,0,2,T,,
2013/2014,12/4/2013,December,West Brom,Man City,A,A,2,3,0,2,0,0,1,1,T,,
2013/2014,12/7/2013,December,Crystal Palace,Cardiff,H,H,2,0,1,0,0,0,0,0,T,,
2013/2014,12/7/2013,December,Liverpool,West Ham,H,H,4,1,1,0,0,1,0,3,T,,
2013/2014,12/7/2013,December,Man United,Newcastle,A,D,0,1,0,0,0,0,0,2,T,,
2013/2014,12/7/2013,December,Southampton,Man City,D,D,1,1,1,1,0,0,0,2,T,,
